# center_x,center_y,center_z,ext_x,ext_y,ext_z,quat_x,quat_y,quat_z,quat_w
0.000000,-0.500000,0.000000,100.000000,0.000000,100.000000,-0.000000,0.000000,0.000000,1.000000
37.819996,7.535684,-103.290001,4.082817,8.039074,8.715002,-0.000000,0.000000,0.000000,1.000000
45.989986,7.535684,-103.290001,4.082817,8.039074,8.715002,-0.000000,0.000000,0.000000,1.000000
29.679987,7.535684,-103.290001,4.082817,8.039074,8.715002,-0.000000,0.000000,0.000000,1.000000
19.010000,7.535684,-103.290001,4.082817,8.039074,8.715002,-0.000000,0.000000,0.000000,1.000000
-6.255000,7.535684,-103.290001,4.082817,8.039074,8.715002,-0.000000,0.000000,0.000000,1.000000
2.374995,7.535684,-103.290001,4.559907,8.039074,8.716475,-0.000000,0.000000,0.000000,1.000000
-23.045008,7.539078,-103.290001,4.559907,8.039074,8.716475,-0.000000,0.000000,0.000000,1.000000
-14.414998,7.535684,-103.290001,4.082817,8.039074,8.715002,-0.000000,0.000000,0.000000,1.000000
-41.350014,7.535684,-107.773491,4.082817,8.039074,8.715002,-0.000000,-0.707107,0.000000,0.707107
-41.350014,7.535685,-99.133507,4.559907,8.039074,8.716474,-0.000000,-0.707107,0.000000,0.707107
-41.350014,7.539076,-124.093491,4.559907,8.039074,8.716474,-0.000000,-0.707107,0.000000,0.707107
-41.350014,7.535683,-115.933510,4.082817,8.039074,8.715002,-0.000000,-0.707107,0.000000,0.707107
-41.350014,7.535681,-145.919998,4.082817,8.039074,8.715002,-0.000000,-0.707107,0.000000,0.707107
-41.350014,7.535682,-137.380005,4.559907,8.039074,8.716474,-0.000000,-0.707107,0.000000,0.707107
-19.149994,7.535682,-133.070007,4.082817,8.039074,8.715002,-0.000000,-0.707107,0.000000,0.707107
-19.149992,7.535683,-124.530006,4.559907,8.039074,8.716474,-0.000000,-0.707107,0.000000,0.707107
-19.149994,7.535681,-146.239990,4.082817,8.039074,8.715002,-0.000000,-0.707107,0.000000,0.707107
38.699993,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
10.700000,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
33.099995,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
21.899996,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
27.499998,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
16.300001,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-18.600008,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-24.200003,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-12.999997,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-7.399996,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-31.357445,4.695081,-76.099922,2.802126,5.198948,4.311531,-0.000000,-0.707107,0.000000,0.707107
-31.346153,4.695082,-59.300007,2.802126,5.198948,4.311531,-0.000000,-0.707107,0.000000,0.707107
-31.346153,4.695080,-81.699898,2.802126,5.198948,4.311531,-0.000000,-0.707107,0.000000,0.707107
-31.368675,4.695081,-70.499977,2.802126,5.198948,4.311531,-0.000000,-0.707107,0.000000,0.707107
-31.380005,4.695082,-64.900002,2.802126,5.198948,4.311531,-0.000000,-0.707107,0.000000,0.707107
-31.357445,4.695082,-53.700001,2.802126,5.198948,4.311531,-0.000000,-0.707107,0.000000,0.707107
-57.190014,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-62.789997,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-47.260002,4.695081,-70.419998,2.802126,5.198948,4.311531,-0.000000,0.707107,-0.000000,0.707107
-51.590000,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-47.271339,4.695082,-64.820000,2.802126,5.198948,4.311531,-0.000000,0.707107,-0.000000,0.707107
-45.990017,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-68.390007,4.695080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-6.630005,4.695081,-70.470001,2.802127,5.198948,4.311531,-0.000000,0.622515,-0.000000,0.782608
-10.470034,4.695082,-54.114765,2.802127,5.198948,4.311531,-0.000000,0.622515,-0.000000,0.782608
-7.909990,4.695081,-65.018234,2.802127,5.198948,4.311531,-0.000000,0.622515,-0.000000,0.782608
-9.190002,4.695082,-59.566517,2.802127,5.198948,4.311531,-0.000000,0.622515,-0.000000,0.782608
-13.478315,4.695083,-40.670464,2.802126,5.198948,4.311531,-0.000000,-0.300706,0.000000,0.953717
-22.670015,4.695083,-47.070000,2.802126,5.198948,4.311531,-0.000000,-0.300706,0.000000,0.953717
-18.061296,4.695083,-43.888695,2.802126,5.198948,4.311531,-0.000000,-0.300706,0.000000,0.953717
32.970001,4.695081,-69.699997,2.802126,5.198948,4.311531,-0.000000,0.500000,-0.000000,0.866025
30.149992,4.695082,-64.860001,2.802126,5.198948,4.311531,-0.000000,0.500000,-0.000000,0.866025
26.190004,4.695082,-56.099998,2.802126,5.198948,4.311531,-0.000000,-0.294028,0.000000,0.955797
21.558302,4.695082,-59.247597,2.802126,5.198948,4.311531,-0.000000,-0.294028,0.000000,0.955797
12.294798,4.695081,-65.542679,2.802126,5.198948,4.311531,-0.000000,-0.294028,0.000000,0.955797
16.926500,4.695082,-62.395126,2.802126,5.198948,4.311531,-0.000000,-0.294028,0.000000,0.955797
